"SUM(ÊµÊÕ½ð¶î)"
"1695"
"1053.1"
"2803.92"
"2139"
"918.4"
"378"
"1706.5"
"5825.5"
"410"
"31.5"
"1906.4"
"90.65"
"768"
"5841.19"
"198"
"795"
"569"
"3779.64"
"72"
"906"
"50"
